City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Port Alfred,ZA,2020-04-19 15:54:32,-33.59,26.89,81.54,52,39,17.45,scattered clouds,0.0,0.0
1,Grindavik,IS,2020-04-19 15:49:22,63.84,-22.43,46.99,100,90,23.04,light intensity drizzle,0.0,0.0
2,Shimoda,JP,2020-04-19 15:54:43,34.67,138.95,55.0,84,100,1.99,overcast clouds,0.0,0.0
3,Ushuaia,AR,2020-04-19 15:51:46,-54.8,-68.3,44.6,75,75,1.1,broken clouds,0.0,0.0
4,Kapaa,US,2020-04-19 15:53:45,22.08,-159.32,69.8,83,90,5.82,overcast clouds,0.0,0.0
5,Chuy,UY,2020-04-19 15:53:51,-33.7,-53.46,71.15,67,0,7.92,clear sky,0.0,0.0
6,Puerto Ayora,EC,2020-04-19 15:46:57,-0.74,-90.35,84.0,83,40,13.87,scattered clouds,0.0,0.0
7,Khatanga,RU,2020-04-19 15:54:55,71.97,102.5,18.73,94,43,4.99,scattered clouds,0.0,0.0
8,Juruti,BR,2020-04-19 15:55:47,-2.15,-56.09,74.66,96,100,1.81,moderate rain,10.67,0.0
9,Kaitangata,NZ,2020-04-19 15:49:00,-46.28,169.85,48.99,54,54,8.01,broken clouds,0.0,0.0
10,Kavieng,PG,2020-04-19 15:53:56,-2.57,150.8,84.07,70,34,4.27,scattered clouds,0.0,0.0
11,Jashpurnagar,IN,2020-04-19 15:55:48,22.9,84.15,79.65,23,1,2.37,clear sky,0.0,0.0
12,Kodiak,US,2020-04-19 15:54:10,57.79,-152.41,42.8,87,90,8.05,overcast clouds,0.0,0.0
13,Vila Franca Do Campo,PT,2020-04-19 15:54:55,37.72,-25.43,62.6,59,20,32.21,few clouds,0.0,0.0
14,Qaanaaq,GL,2020-04-19 15:53:58,77.48,-69.36,15.82,84,39,11.65,scattered clouds,0.0,0.0
15,Nikolskoye,RU,2020-04-19 15:54:17,59.7,30.79,44.01,68,75,8.95,broken clouds,0.0,0.0
16,Galveston,US,2020-04-19 15:55:49,29.37,-94.97,75.99,94,90,5.82,light rain,0.0,0.0
17,Carnot,CF,2020-04-19 15:55:49,4.94,15.87,85.73,52,100,3.67,light rain,0.58,0.0
18,Castro,BR,2020-04-19 15:50:10,-24.79,-50.01,70.36,39,2,5.28,clear sky,0.0,0.0
19,Butaritari,KI,2020-04-19 15:53:48,3.07,172.79,82.47,77,10,14.27,light rain,2.66,0.0
20,Maldonado,UY,2020-04-19 15:55:49,-34.67,-54.92,77.0,60,20,10.29,few clouds,0.0,0.0
21,Hamilton,US,2020-04-19 15:54:32,39.18,-84.53,54.0,62,1,6.93,clear sky,0.0,0.0
22,Srednekolymsk,RU,2020-04-19 15:53:51,67.45,153.68,-5.33,90,4,5.03,clear sky,0.0,0.0
23,Tuatapere,NZ,2020-04-19 15:52:56,-46.13,167.68,43.0,84,79,5.01,light rain,0.75,0.0
24,Longyearbyen,SJ,2020-04-19 15:53:58,78.22,15.64,33.8,80,75,11.41,light rain and snow,0.0,0.0
25,Egvekinot,RU,2020-04-19 15:55:50,66.32,-179.17,6.76,89,99,13.31,overcast clouds,0.0,0.0
26,Hithadhoo,MV,2020-04-19 15:54:00,-0.6,73.08,85.23,74,29,11.41,scattered clouds,0.0,0.0
27,Anori,BR,2020-04-19 15:55:51,-3.77,-61.64,81.63,88,100,3.0,moderate rain,3.86,0.0
28,Sinnamary,GF,2020-04-19 15:55:52,5.38,-52.95,81.23,81,97,8.14,moderate rain,8.63,0.0
29,Ahuimanu,US,2020-04-19 15:55:52,21.44,-157.84,78.8,61,20,3.36,few clouds,0.0,0.0
30,North Platte,US,2020-04-19 15:51:59,41.12,-100.77,51.01,57,1,11.41,clear sky,0.0,0.0
31,Albany,US,2020-04-19 15:54:06,42.6,-73.97,55.99,33,2,7.38,clear sky,0.0,0.0
32,Rio Gallegos,AR,2020-04-19 15:48:59,-51.62,-69.22,48.2,66,73,32.21,broken clouds,0.0,0.0
33,Norman Wells,CA,2020-04-19 15:54:08,65.28,-126.83,24.8,92,75,19.46,light snow,0.0,0.0
34,Nichinan,JP,2020-04-19 15:55:54,31.6,131.37,68.0,88,90,19.46,shower rain,0.0,0.0
35,Tuktoyaktuk,CA,2020-04-19 15:53:48,69.45,-133.04,5.0,84,90,14.99,light snow,0.0,0.0
36,Elmina,GH,2020-04-19 15:55:54,5.09,-1.35,86.41,70,77,15.64,light rain,1.34,0.0
37,Tiksi,RU,2020-04-19 15:46:53,71.69,128.87,9.7,84,72,6.42,broken clouds,0.0,0.0
38,Ocos,GT,2020-04-19 15:54:35,14.51,-92.19,84.2,79,75,2.24,broken clouds,0.0,0.0
39,Belmonte,BR,2020-04-19 15:49:19,-15.86,-38.88,75.2,88,75,6.93,light rain,0.0,0.0
40,Punta Arenas,CL,2020-04-19 15:51:48,-53.15,-70.92,44.6,65,40,42.5,scattered clouds,0.0,0.0
41,Realeza,BR,2020-04-19 15:55:55,-25.77,-53.53,77.99,42,0,4.23,clear sky,0.0,0.0
42,Moura,PT,2020-04-19 15:55:56,38.14,-7.45,64.4,52,75,16.11,broken clouds,0.0,0.0
43,Hilo,US,2020-04-19 15:54:02,19.73,-155.09,66.99,68,90,9.17,overcast clouds,0.0,0.0
44,Berlevag,NO,2020-04-19 15:53:49,70.86,29.09,37.4,80,75,9.17,broken clouds,0.0,0.0
45,New Norfolk,AU,2020-04-19 15:53:54,-42.78,147.06,48.0,83,100,3.51,overcast clouds,0.0,0.0
46,Terrace,CA,2020-04-19 15:54:15,54.52,-128.6,42.01,93,20,1.03,few clouds,0.0,0.0
47,Rikitea,PF,2020-04-19 15:53:50,-23.12,-134.97,76.51,69,20,6.33,few clouds,0.0,0.0
48,Kultayevo,RU,2020-04-19 15:55:57,57.89,55.94,39.2,86,20,6.71,few clouds,0.0,0.0
49,Fairbanks,US,2020-04-19 15:53:55,64.84,-147.72,39.0,100,90,2.06,overcast clouds,0.0,0.0
50,Narsaq,GL,2020-04-19 15:50:00,60.92,-46.05,32.0,85,3,4.7,clear sky,0.0,0.0
51,Poiana Marului,RO,2020-04-19 15:55:58,45.6,25.3,57.0,71,95,3.0,light rain,2.58,0.0
52,Jamestown,US,2020-04-19 15:53:48,42.1,-79.24,46.4,72,75,17.22,broken clouds,0.0,0.0
53,Cape Town,ZA,2020-04-19 15:53:49,-33.93,18.42,70.0,88,20,18.34,few clouds,0.0,0.0
54,Vaini,TO,2020-04-19 15:53:54,-21.2,-175.2,77.0,83,20,8.05,few clouds,0.0,0.0
55,Inirida,CO,2020-04-19 15:55:59,3.87,-67.92,77.16,88,91,2.93,moderate rain,3.16,0.0
56,Vestmannaeyjar,IS,2020-04-19 15:48:58,63.44,-20.27,44.6,100,75,13.87,moderate rain,0.0,0.0
57,Mataura,NZ,2020-04-19 15:53:52,-46.19,168.86,43.0,84,87,5.01,overcast clouds,0.0,0.0
58,Soria,ES,2020-04-19 15:56:00,41.67,-2.67,53.01,80,100,4.0,moderate rain,3.07,0.0
59,Faanui,PF,2020-04-19 15:54:33,-16.48,-151.75,82.51,78,79,14.38,broken clouds,0.0,0.0
60,Nalut,LY,2020-04-19 15:56:00,30.33,10.85,99.72,9,76,18.07,broken clouds,0.0,0.0
61,Yellowknife,CA,2020-04-19 15:53:01,62.46,-114.35,19.4,79,40,11.41,scattered clouds,0.0,0.0
62,Rio Grande,BR,2020-04-19 15:53:33,-32.03,-52.1,78.8,61,40,9.17,scattered clouds,0.0,0.0
63,Dogondoutchi,NE,2020-04-19 15:55:39,13.64,4.03,105.89,11,99,1.79,overcast clouds,0.0,0.0
64,Husavik,IS,2020-04-19 15:56:01,66.04,-17.34,51.8,62,90,24.16,overcast clouds,0.0,0.0
65,Golden,US,2020-04-19 15:51:44,39.76,-105.22,44.01,37,40,9.17,scattered clouds,0.0,0.0
66,Saldanha,ZA,2020-04-19 15:49:40,-33.01,17.94,64.4,77,0,10.29,clear sky,0.0,0.0
67,Geraldton,AU,2020-04-19 15:54:15,-28.77,114.6,60.8,77,71,6.11,broken clouds,0.0,0.0
68,Hermanus,ZA,2020-04-19 15:53:51,-34.42,19.23,70.0,76,57,1.01,broken clouds,0.0,0.0
69,Borodino,RU,2020-04-19 15:55:45,55.91,94.9,36.41,62,0,14.18,clear sky,0.0,0.0
70,Komsomolskiy,UZ,2020-04-19 15:54:11,40.43,71.72,64.4,39,5,2.24,clear sky,0.0,0.0
71,Puerto Del Rosario,ES,2020-04-19 15:56:02,28.5,-13.86,73.4,43,20,16.11,few clouds,0.0,0.0
72,Kruisfontein,ZA,2020-04-19 15:49:53,-34.0,24.73,87.51,32,15,5.41,few clouds,0.0,0.0
73,College,US,2020-04-19 15:54:19,64.86,-147.8,42.01,93,90,2.01,overcast clouds,0.0,0.0
74,Tosya,TR,2020-04-19 15:56:03,41.02,34.04,66.25,22,57,1.48,broken clouds,0.0,0.0
75,Isangel,VU,2020-04-19 15:54:53,-19.55,169.27,78.93,85,100,15.95,light rain,2.24,0.0
76,Teahupoo,PF,2020-04-19 15:56:03,-17.83,-149.27,78.8,78,75,3.36,broken clouds,0.0,0.0
77,Atuona,PF,2020-04-19 15:53:57,-9.8,-139.03,82.81,74,91,16.15,overcast clouds,0.0,0.0
78,Georgetown,MY,2020-04-19 15:54:01,5.41,100.34,84.2,88,20,5.82,few clouds,0.0,0.0
79,Tual,ID,2020-04-19 15:54:44,-5.67,132.75,84.38,70,98,3.65,overcast clouds,0.0,0.0
80,Marienburg,PL,2020-04-19 15:56:04,54.04,19.03,48.99,57,0,15.82,clear sky,0.0,0.0
81,Gat,IL,2020-04-19 15:54:53,31.61,34.76,77.0,39,7,14.16,clear sky,0.0,0.0
82,Busselton,AU,2020-04-19 15:53:49,-33.65,115.33,55.0,59,95,9.4,overcast clouds,0.0,0.0
83,Mar Del Plata,AR,2020-04-19 15:52:12,-38.0,-57.56,73.0,64,0,20.8,clear sky,0.0,0.0
84,Visnes,NO,2020-04-19 15:56:05,59.36,5.22,55.0,71,0,8.05,clear sky,0.0,0.0
85,Beringovskiy,RU,2020-04-19 15:54:35,63.05,179.32,16.43,96,100,14.25,light snow,0.0,0.83
