City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ostrovnoy,RU,2020-04-18 21:39:56,68.05,39.51,30.58,97,99,8.61
1,Butaritari,KI,2020-04-18 21:39:56,3.07,172.79,83.21,77,76,15.82
2,Kavaratti,IN,2020-04-18 21:44:11,10.57,72.64,84.13,71,1,4.56
3,Hermanus,ZA,2020-04-18 21:44:11,-34.42,19.23,64.0,54,69,1.01
4,Marrakesh,MA,2020-04-18 21:44:04,31.63,-8.01,60.8,77,75,4.7
5,Storforshei,NO,2020-04-18 21:44:11,66.4,14.52,37.99,92,99,7.0
6,Bredasdorp,ZA,2020-04-18 21:40:01,-34.53,20.04,53.6,93,46,4.7
7,Salekhard,RU,2020-04-18 21:44:12,66.53,66.6,32.65,96,100,5.26
8,Rio Grande,BR,2020-04-18 21:41:30,-32.03,-52.1,68.0,85,0,11.39
9,Nanortalik,GL,2020-04-18 21:44:13,60.14,-45.24,29.5,91,82,3.91
10,Kapaa,US,2020-04-18 21:44:13,22.08,-159.32,80.6,65,1,8.05
11,Kirya,TZ,2020-04-18 21:44:13,-3.92,37.48,70.61,70,100,7.31
12,Lebu,CL,2020-04-18 21:40:56,-37.62,-73.65,61.65,72,34,5.7
13,Albany,US,2020-04-18 21:43:48,42.6,-73.97,46.0,67,93,1.99
14,Bluff,NZ,2020-04-18 21:42:22,-46.6,168.33,45.9,85,100,7.43
15,Lata,PT,2020-04-18 21:44:14,40.16,-8.33,53.01,91,29,3.0
16,Chabahar,IR,2020-04-18 21:44:15,25.29,60.64,78.26,74,68,6.51
17,Bowen,AU,2020-04-18 21:41:51,-20.02,148.23,75.0,94,90,3.36
18,Manta,EC,2020-04-18 21:39:25,-0.95,-80.73,80.6,78,75,3.36
19,Turukhansk,RU,2020-04-18 21:44:15,65.82,87.98,37.63,79,100,15.48
20,Faanui,PF,2020-04-18 21:44:15,-16.48,-151.75,82.87,73,26,9.57
21,Kodiak,US,2020-04-18 21:40:57,57.79,-152.41,46.4,75,1,12.75
22,Makakilo City,US,2020-04-18 21:40:57,21.35,-158.09,80.6,57,1,9.17
23,Gao,ML,2020-04-18 21:39:19,16.64,1.64,88.65,9,16,9.78
24,Broome,US,2020-04-18 21:41:25,42.25,-75.83,44.01,48,90,16.11
25,Khatanga,RU,2020-04-18 21:44:17,71.97,102.5,9.54,93,0,5.06
26,Puerto Escondido,MX,2020-04-18 21:44:17,15.85,-97.07,86.0,84,40,8.05
27,Georgetown,MY,2020-04-18 21:44:17,5.41,100.34,82.4,94,40,3.36
28,Vaini,TO,2020-04-18 21:44:17,-21.2,-175.2,78.8,78,75,11.41
29,Carahue,CL,2020-04-18 21:44:17,-38.7,-73.17,64.4,77,40,6.93
30,Nowogard,PL,2020-04-18 21:44:18,53.67,15.12,44.6,48,55,5.82
31,Fort Dodge,US,2020-04-18 21:42:02,42.5,-94.17,71.6,21,1,13.87
32,Mataura,NZ,2020-04-18 21:44:18,-46.19,168.86,43.3,89,100,4.52
33,Thompson,CA,2020-04-18 21:44:19,55.74,-97.86,15.8,47,20,16.11
34,Qaanaaq,GL,2020-04-18 21:44:19,77.48,-69.36,20.75,87,100,9.42
35,Rikitea,PF,2020-04-18 21:42:17,-23.12,-134.97,77.09,73,18,7.54
